PREDATOR PREY
Carcinus_maenas Mytilus_edulis
Carcinus_maenas Cerastoderma_edule
Carcinus_maenas Enteromorpha
Hydrobia_ulvae Enteromorpha
Hydrobia_ulvae POM_(detritus)
na...51 POM_(detritus)
na...52 POM_(detritus)
na...53 POM_(detritus)
Semibalanus_balanoides POM_(detritus)
Neomysis_integer na...53
Mya_arenaria POM_(detritus)
Talitrus_saltator POM_(detritus)
Corophium_volutator POM_(detritus)
Bathyporeia_pilosa POM_(detritus)
Gammarus_spp. POM_(detritus)
Idotea_emarginata POM_(detritus)
Jaera_marina POM_(detritus)
Eurydice_pulchra POM_(detritus)
Nototropis_spp. POM_(detritus)
Nematodes POM_(detritus)
Nereis_virens Hydrobia_ulvae
Nereis_virens Corophium_volutator
Nereis_virens Nematodes
Nereis_virens Fucus_ceranoides
Nereis_virens Enteromorpha
Nereis_virens POM_(detritus)
Nereis_diversicolor Hydrobia_ulvae
Nereis_diversicolor Corophium_volutator
Nereis_diversicolor Nematodes
Nereis_diversicolor Fucus_ceranoides
Nereis_diversicolor Enteromorpha
Nereis_diversicolor POM_(detritus)
Hesionidae POM_(detritus)
Parathemisto_spp. POM_(detritus)
Phyllodoce Pygospio_elegans
Eteone Pygospio_elegans
Pygospio_elegans POM_(detritus)
Capitallidae POM_(detritus)
Manayunkia_aestuarina POM_(detritus)
Orbinia POM_(detritus)
Arenicola_marina POM_(detritus)
Tubificoides_benedeni POM_(detritus)
Tubifex_costatus POM_(detritus)
Littorina_littorea Diatoms
Littorina_littorea Enteromorpha
Littorina_littorea POM_(detritus)
Littorina_saxatilis Diatoms
Littorina_saxatilis Enteromorpha
Littorina_saxatilis POM_(detritus)
Alderia_modesta Enteromorpha
Retusa_obtusa Hydrobia_ulvae
Macoma_balthica POM_(detritus)
Mytilus_edulis POM_(detritus)
Cerastoderma_edule POM_(detritus)
Chironomid_larvae POM_(detritus)
Diptera_larvae/pupae POM_(detritus)
Acarina POM_(detritus)
Foraminifera POM_(detritus)
