PREDATOR PREY
Carcharhinus_falciformis "Tylosurus_crocodilus crocodilus"
Carcharhinus_falciformis Bothus_lunatus
Carcharhinus_falciformis Bothus_ocellatus
Carcharhinus_falciformis Carangoides_bartholomaei
Carcharhinus_falciformis Carangoides_latus
Carcharhinus_falciformis Carangoides_ruber
Carcharhinus_falciformis Parablennius_marmoreus...69
Carcharhinus_falciformis Oligoplites_saurus
Carcharhinus_falciformis Selar_crumenophthalmus
Carcharhinus_falciformis Seriola_dumerili
Carcharhinus_falciformis Trachinotus_falcatus
Carcharhinus_falciformis Trachinotus_goodei
Carcharhinus_falciformis Carcharhinus_acronotus
Carcharhinus_falciformis Carcharhinus_limbatus
Carcharhinus_falciformis Carcharhinus_perezi
Carcharhinus_falciformis Negaprion_brevirostris
Carcharhinus_falciformis Rhizoprionodon_porosus
Carcharhinus_falciformis Harengula_clupeola
Carcharhinus_falciformis Harengula_humeralis
Carcharhinus_falciformis Opisthonema_oglinum
Carcharhinus_falciformis Dactylopterus_volitans
Carcharhinus_falciformis Dasyatis_americana
Carcharhinus_falciformis Chilomycterus_antennatus
Carcharhinus_falciformis Diodon_holocanthus
Carcharhinus_falciformis Diodon_hysterix
Carcharhinus_falciformis Inermia_vittata
Carcharhinus_falciformis Chaetodipterus_faber
Carcharhinus_falciformis Fistularia_tabacaria
Carcharhinus_falciformis Eucinostomus_argenteus
Carcharhinus_falciformis Gerres_cinereus
Carcharhinus_falciformis Rypticus_saponaceus
Carcharhinus_falciformis Anisotremus_surinamensis
Carcharhinus_falciformis Anisotremus_virginicus
Carcharhinus_falciformis Haemulon_album
Carcharhinus_falciformis Haemulon_aurolineatum
Carcharhinus_falciformis Haemulon_carbonarium
Carcharhinus_falciformis Haemulon_chrysargyreum
Carcharhinus_falciformis Haemulon_flavolineatum
Carcharhinus_falciformis Haemulon_macrostomum
Carcharhinus_falciformis Haemulon_parrai
Carcharhinus_falciformis Haemulon_plumieri
Carcharhinus_falciformis Haemulon_sciurus
Carcharhinus_falciformis Hemiramphus_balao
Carcharhinus_falciformis Hemiramphus_brasiliensis
Carcharhinus_falciformis Holocentrus_ascensionis
Carcharhinus_falciformis Neoniphon_marianus
Carcharhinus_falciformis Holocentrus_rufus
Carcharhinus_falciformis Sargocentron_vexillarium
Carcharhinus_falciformis Myripristis_jacobus
Carcharhinus_falciformis Kyphosus_incisor
Carcharhinus_falciformis Kyphosus_sectarix
Carcharhinus_falciformis Bodianus_rufus
Carcharhinus_falciformis Clepticus_parrae
Carcharhinus_falciformis Halichoeres_bivittatus
Carcharhinus_falciformis Halichoeres_garnoti
Carcharhinus_falciformis Halichoeres_poeyi
Carcharhinus_falciformis Halichoeres_radiatus
Carcharhinus_falciformis Xyrichtys_novacula
Carcharhinus_falciformis Lachnolaimus_maximus
Carcharhinus_falciformis Lutjanus_analis
Carcharhinus_falciformis Lutjanus_apodus
Carcharhinus_falciformis Lutjanus_cyanopterus
Carcharhinus_falciformis Lutjanus_griseus
Carcharhinus_falciformis Lutjanus_jocu
Carcharhinus_falciformis Lutjanus_mahagoni
Carcharhinus_falciformis Lutjanus_synagris
Carcharhinus_falciformis Ocyurus_chrysurus
Carcharhinus_falciformis Malacanthus_plumieri
Carcharhinus_falciformis Megalops_atlanticus
Carcharhinus_falciformis Aluterus_schoepfii
Carcharhinus_falciformis Aluterus_scripta
Carcharhinus_falciformis Cantherhines_macrocerus
Carcharhinus_falciformis Cantherhines_pullus
Carcharhinus_falciformis Monacanthus_ciliatus
Carcharhinus_falciformis Mugil_curema
Carcharhinus_falciformis Mulloidichthys_martinicus
Carcharhinus_falciformis Pseudupeneus_maculatus
Carcharhinus_falciformis Echidna_catenata
Carcharhinus_falciformis Gymnothorax_moringa
Carcharhinus_falciformis Gymnothorax_vicinus
Carcharhinus_falciformis Aetobatus_narinari
Carcharhinus_falciformis Ogcocephalus_nasutus
Carcharhinus_falciformis Myrichthys_breviceps
Carcharhinus_falciformis Myrichthys_ocellatus
Carcharhinus_falciformis Ophichthus_ophis
Carcharhinus_falciformis Acanthostracion_polygonius
Carcharhinus_falciformis Acanthostracion_quadricomis
Carcharhinus_falciformis Lactophrys_trigonus
Carcharhinus_falciformis Lactophrys_bicaudalis
Carcharhinus_falciformis Lactophrys_triqueter
Carcharhinus_falciformis Holacanthus_ciliaris...183
Carcharhinus_falciformis Holacanthus_tricolor
Carcharhinus_falciformis Pomacanthus_arcuatus
Carcharhinus_falciformis Pomacanthus_paru
Carcharhinus_falciformis Abudefduf_saxatilis
Carcharhinus_falciformis Abudefduf_tauru
